description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
missing first name,Database,Failure,,"S06, G04","S06c, G03c","Student, Graduation","s_first, g_first",Every student should have a first name,"INTO #s06c
FROM students_'+ @extract +'
WHERE s_first is null
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_first_name,spriden_activity_date,student.first_name
first name with non-alpha characters,Database,Warning,,"S06, G05","S06d, G03d","Student, Graduation","s_first, g_first",S_First name with Non-Alpha characters,"INTO #s06d
from students_'+ @extract +'
where (s_first is not null or s_first <> '''')
and s_first like ''%[^ -`a-Z]%''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_first_name,spriden_activity_date,student.first_name
middle name with non-alpha characters,Database,Warning,,"S06, G06","S06e, G03f","Student, Graduation","s_middle, g_middle",S_Middle name with Non-Alpha characters,"into #s06e
from students_'+ @extract +'
where (s_middle is not null or s_middle <> '''')
and s_middle like ''%[^ -`a-Z]%''
and s_middle not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_mi,spriden_activity_date,student.middle_name
suffix last name with non-alpha characters,Database,Warning,,S06,S06f,Student,s_suffix,S_Suffix name with Non-Alpha characters,"into #s06f
from students_'+ @extract +'
where (s_suffix is not null or s_suffix <> '''')
and s_suffix like ''%[^ -`a-Z]%''
and s_suffix not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_name_suffix,spbpers_activity_date,student.name_suffix
previous last name with non-alpha characters,Database,Warning,,S07,S07a,Student,s_prev_last,S_Prev_Last name with Non-Alpha characters,"into #s07a
from students_'+ @extract +'
where (s_prev_last is not null or s_prev_last <> '''')
and s_prev_last like ''%[^ -`a-Z]%''
and s_prev_last not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_last_name,spriden_activity_date,student.previous_last_name
previous first name with non-alpha characters,Database,Warning,,S07,S07b,Student,s_prev_first,S_Prev_First name with Non-Alpha characters,"into #s07b
from students_'+ @extract +'
where (s_prev_first is not null or s_prev_first <> '''')
and s_prev_first like ''%[^ -`a-Z]%''
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_first_name,spriden_activity_date,student.previous_first_name
previous middle name with non-alpha characters,Database,Warning,,S07,S07c,Student,s_prev_middle,S_Prev_Middle name with Non-Alpha characters,"into #s07c
from students_'+ @extract +'
where (s_prev_middle is not null or s_prev_middle <> '''')
and s_prev_middle like ''%[^ -`a-Z]%''
and s_prev_middle not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spriden_mi,spriden_activity_date,student.previous_middle_name
previous suffix last name with non-alpha characters,Database,Warning,,"S07, G03","S07d, G03h","Student, Graduation","s_suffix, g_suffix",S_Suffix name with Non-Alpha characters,"into #s07d
from students_'+ @extract +'
where (s_prev_suffix is not null or s_prev_suffix <> '''')
and s_prev_suffix like ''%[^ -`a-Z]%''
and s_prev_suffix not like ''%''''%'' -- this allows an apostrophe to be in the string
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_name_suffix,spbpers_activity_date,student.name_suffix
missing zip code,Database,Failure,,S08,S08a,Student,s_curr_zip,Every student should have a zip code,"INTO #s08a
FROM students_'+ @extract +'
WHERE s_curr_zip is null
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spraddr_zip,spraddr_activity_date,"student.local_address_zip_code, student.mailing_address_zip_code"
invalid zip code,Database,Failure,,S08,S08b,Student,s_curr_zip,Invalid zip code,"INTO #s08b
FROM students_'+ @extract +'
WHERE (len(s_curr_zip) < 5 or s_curr_zip in (''11111'',''99999'') or s_curr_zip like ''0000%'' or (len(s_curr_zip)> 10))
and s_curr_zip not in (''00000'',''000000000'',''00000-0000'') --All zeros is allowed
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spraddr_zip,spraddr_activity_date,"student.local_address_zip_code, student.mailing_address_zip_code"
missing citizenship code,Database,Failure,,S09,S09a,Student,s_citz_code,Missing citzenship code,"INTO #s09a
FROM students_'+ @extract +'
WHERE (s_citz_code not in (select distinct code from reference.dbo.citz_code))
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_cit_code,spbpers_activity_date,student.us_citizenship_code
missing citizenship code (Nonresident Alien mismatch),Database,Failure,,S09,S09b,Student,s_citz_code,Nonresident Alien mismatch,"INTO #s09b
FROM students_'+ @extract +'
WHERE ((s_citz_code = ''2'' AND s_ethnic_n is null)
or (s_citz_code is null AND s_ethnic_n = ''N'')
or (s_citz_code !=''2'' AND s_ethnic_n = ''N'')
or (s_citz_code =''2'' AND s_ethnic_n != ''N''))
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_cit_code,spbpers_activity_date,student.us_citizenship_code
missing county code,Database,Failure,,"S10, G04","S10a, G04a","Student, Graduation","s_county_origin, g_county_origin",There should be a county origin for every record,"INTO #s10a
FROM students_'+ @extract +'
WHERE (s_county_origin NOT IN (select distinct county_no from reference.dbo.county))
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sabsupl_cnty_code_admit,sabsupl_activity_date,student.first_admit_county_code
state code is UT but county code is out of state,Database,Failure,,S11,S11a,Student,"s_state_origin, s_county_origin",Checks where the state is UT but county is out of state,"INTO #s11a
FROM students_'+ @extract +'
WHERE s_county_origin IN (''097'',''099'')
AND s_state_origin=''UT'' AND
s_instance = @instance
and s_inst = @inst
Order by s_banner_id","banner.sabsupl_stat_code_admit, banner.sabsupl_cnty_code_admit",sabsupl_activity_date,"student.first_admit_state_code, student.first_admit_county_code"
missing birthdates,Database,Failure,,"S12, G05, G08","S12, G05, G08a","Student, Graduation","s_birth_dt, g_birth_dt, g_date",There should be a birth date for every record,"INTO #s12
FROM students_'+ @extract +'
WHERE s_birth_dt is null
and s_reg_status not in (''NM'',''CE'')
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_birth_date,spbpers_activity_date,student.birth_date
invalid birthdate,Database,Failure,,"S12, G05","S12A, G05a","Student, Graduation",s_birth_dt,Checks for invalid birth date year equal to current year or future years,"INTO #s12a
FROM students_'+ @extract +'
WHERE left(S_BIRTH_DT,4)>= s_year
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_birth_date,spbpers_activity_date,student.birth_date
invalid birthdate formating of YYYYMMDD,USHE,Failure,,S12,S12B,Student,s_birth_dt,Checks for valid date format YYYYMMDD,"INTO #s12b
FROM students_'+ @extract +'
WHERE isdate(S_BIRTH_DT)!=1
and s_birth_dt <> ''0''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_birth_date,n/a,student.birth_date
age over 100,Database,Failure,,S12,S12C,Student,s_birth_dt,Birth date older than 100 years,"INTO #s12c
FROM students_'+ @extract +'
WHERE left(S_BIRTH_DT,4) <= left(Convert(varchar(8),dateadd(year,-100,getdate()),112),4)
and s_birth_dt <> ''0''
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_birth_date,spbpers_activity_date,student.birth_date
missing or invalid gender,Database,Failure,,"S13, G06","S13, G06a","Student, Graduation","s_gender, g_gender",Please resolve any missing OR invalid values,"INTO #s13
FROM students_'+ @extract +'
WHERE (s_gender not IN (''m'',''f'') OR s_gender is null)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.spbpers_sex,spbpers_activity_date,student.gender_code
gender change after census,USHE,Warning,,S13,S13a,Student,s_gender,GENDER CHANGED BASED ON 3RD WEEK DATA,"INTO #s13a
FROM students_'+ @extract +' a, PRODUCTION.DBO.STUDENTS b
WHERE a.s_instance = @instance
AND a.s_inst = @inst
AND a.s_YEAR = b.s_YEAR
AND a.S_TERM = b.s_TERM
AND a.s_inst = b.s_inst
AND a.S_ID = b.s_ID
AND a.S_GENDER <> b.s_GENDER
Order by a.s_banner_id",banner.spbpers_sex,n/a,student.gender_code
gender change after previous term,USHE,Warning,,S13,S13b,Student,s_gender,Gender change from last instance,"select max(s_inst_cd) as max_term, s_inst, s_banner_id
into #maxterm
from PRODUCTION.dbo.students_eh
group by s_inst, s_banner_id

select a.s_banner_id, a.s_inst, a.s_gender
into #maxterm2 from
PRODUCTION.dbo.students_eh a
inner join
#maxterm b
on a.S_BANNER_ID=b.S_BANNER_ID
and a.s_inst=b.s_inst
and s_inst_cd=b.max_term

SELECT '''' [S13b Gend Chng from Last Instance], a.s_inst, a.S_ID, a.S_BANNER_ID, b.S_GENDER AS last_GENDER, a.S_GENDER AS current_GENDER
into #s13b
FROM students_'+ @extract +' a, #maxterm2 b
WHERE a.s_inst=@inst
AND a.s_inst = b.s_inst
AND a.S_banner_ID = b.s_banner_ID
AND a.S_GENDER <> b.s_GENDER
Order by a.s_banner_id",banner.spbpers_sex,n/a,student.gender_code
invalid ethnicity code (Asian),USHE,Failure,,"S14, G07","S14a, G07a","Student, Graduation","s_ethnic_a, g_ethnic_a",Ethnicity Asian Please resolve any invalid codes.,"INTO #s14a
FROM students_'+ @extract +'
WHERE s_ethnic_a != ''A''
AND s_ethnic_a IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_asian
invalid ethnicity code (Black),USHE,Failure,,"S14, G07","S14b, G07b","Student, Graduation","s_ethnic_b, g_ethnic_b",Ethnicity Black Please resolve any invalid codes.,"INTO #s14b
FROM students_'+ @extract +'
WHERE s_ethnic_b != ''B''
AND s_ethnic_b IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_black
invalid ethnicity code (Hispanic),USHE,Failure,,"S14, G07","S14h, G07c","Student, Graduation","s_ethnic_h, g_ethnic_h",Ethnicity Hispanic Please resolve any invalid codes,"INTO #s14h
FROM students_'+ @extract +'
WHERE s_ethnic_h != ''H''
AND s_ethnic_h IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_hispanic_latino_ethnicity
invalid ethnicity code (American Indian),USHE,Failure,,"S14, G07","S14i, G07d","Student, Graduation","s_ethnic_i, g_ethnic_i",Ethnicity American Indian Please resolve any invalid codes,"INTO #s14i
FROM students_'+ @extract +'
WHERE s_ethnic_i != ''I''
AND s_ethnic_i IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_american_indian_alaskan
invalid ethnicity codes,USHE,Failure,,S14,S14m,Student,s_ethnic_ipeds,No multiple ethnicities,"into #s14m
from REFERENCE..INST
where I_ID not in (
select S_INST
from students_'+ @extract +'
where s_instance = @instance
and s_ethnic_ipeds not in (''H'',''A'',''B'',''I'',''P'',''W'',''N'',''U'')
)
and I_ID = @inst
Order by I_ID",dsc.ipeds_ethnicity,n/a,n/a
invalid ethnicity code (Non-Resident Alien),USHE,Failure,,"S14, G07","S14n, G07g","Student, Graduation","s_ethnic_n, g_ethnic_n",Ethnicity Non-Resident Alien Please resolve any invalid codes,"INTO #s14n
FROM students_'+ @extract +'
WHERE s_ethnic_n != ''N''
AND s_ethnic_n IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_international
invalid ethnicity code (Pacific Islander),USHE,Failure,,"S14, G07","S14p, G07e","Student, Graduation","s_ethnic_p, g_ethnic_p",Ethnicity Pacific Islander Please resolve any invalid codes.,"INTO #s14p
FROM students_'+ @extract +'
WHERE s_ethnic_p != ''P''
AND s_ethnic_p IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_hawaiian_pacific_islander
invalid ethnicity code (Unspecified),USHE,Failure,,"S14, G07","S14u, G07h","Student, Graduation","s_ethnic_u, g_ethnic_u",Ethnicity Unspecified Please resolve any invalid codes.,"INTO #s14u
FROM students_'+ @extract +'
WHERE s_ethnic_u != ''U''
AND s_ethnic_u IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_other_race
Unspecified when already specified with a race/ethnicity,USHE,Failure,,"S14, G07","S14u, G07i","Student, Graduation","s_ethnic_u, g_ethnic_u","Ethnicity Unspecified When already specified. These students are marked ''U'' for unspecified even though
--they have an ethnicity marked elsewhere in the same record.","SELECT '''' [S14UA FTL Invalid ethnic_u],
s_inst, s_banner_id, s_last, s_first, s_gender, s_ethnic_u,
s_ethnic_h, s_ethnic_a, s_ethnic_b, s_ethnic_i, s_ethnic_p, s_ethnic_w, s_ethnic_n
INTO #s14ua
FROM students_'+ @extract +'
WHERE s_ethnic_u = ''U''
AND (s_ethnic_h IS NOT NULL OR s_ethnic_a IS NOT NULL OR s_ethnic_b IS NOT NULL OR
s_ethnic_i IS NOT NULL OR s_ethnic_p IS NOT NULL OR s_ethnic_w IS NOT NULL OR s_ethnic_n IS NOT NULL)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_other_race
invalid ethnicity code (White),USHE,Failure,,"S14, G07","S14w, G07f","Student, Graduation","s_ethnic_w, g_ethnic_w",Ethnicity White Please resolve any invalid codes.,"INTO #s14w
FROM students_'+ @extract +'
WHERE s_ethnic_w != ''W''
AND s_ethnic_w IS NOT NULL
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",dsc.ipeds_ethnicity,n/a,student.is_white
missing residency,Database,Failure,,S15,S15a,Student,s_regent_res,There should be a residency status for each record.,"INTO #s15
FROM students_'+ @extract +'
WHERE (s_regent_res not IN (''R'',''N'',''A'',''M'')
OR s_regent_res is null)
AND s_instance = @instance
and s_inst = @inst
and s_inst != ''3671''
Order by s_banner_id",banner.sgbstdn_resd_code,sgbstdn_activity_date,student_term_level.residency_code
missing cip code,Database,Failure,,"S16, S30, G09","S16a, S37A, S30a, G09b","Student, Graduation","s_curr_cip, g_cip",Declared Major CIP codes There should be a s_curr_cip for each record.,"SELECT '''' [S16A FTL Invalid s_curr_cip],
s_inst, s_banner_id, s_last, s_first, s_gender, s_curr_cip
INTO #s16a
FROM students_'+ @extract +'
WHERE s_deg_intent != ''0''
and s_instance = @instance
and s_inst = @inst
EXCEPT
SELECT '''' [S-16A FTL Invalid s_curr_cip],
s_inst, s_banner_id, s_last, s_first, s_gender, s_curr_cip
FROM students_'+ @extract +'
WHERE s_instance = @instance
and s_inst = @inst
AND s_curr_cip IN (SELECT distinct cip_code FROM REFERENCE.dbo.cip WHERE cip_code not IN
('''',''999999'',''000000'') and Inactive <> ''Y'')
Order by s_banner_id",banner.stvmajr_cipc_code,stvmajr_activity_date,"student_term_level.primary_major_cip_code, student_term_level.secondary_major_cip_code"
invalid registration status codes,USHE,Failure,,S17,S17a,Student,s_reg_status,Checking for valid registration status values,"SELECT '''' [S17A FTL Invalid Reg Status], s_banner_id, s_inst, s_year, s_term, s_extract, s_reg_status
INTO #s17a
FROM students_'+ @extract +'
WHERE s_reg_status not IN (select distinct code from reference.dbo.reg_status)
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
graduate class level coded with an undergraduate student type,USHE,Failure,,S17,S17b,Student,s_reg_status,Graduates as entering Undergrads,"INTO #s17b
FROM students_'+ @extract +'
WHERE s_reg_status IN (''CS'',''HS'',''FF'',''FH'',''TU'')
AND s_level IN (''GN'',''GG'')
AND s_instance = @instance
and s_inst = @inst
Order by s_id","banner.sgbstdn_styp_code, class function in banner",sgbstdn_activity_date,"student_term_level.student_type_code, student_term_level.primary_level_class_id"
first time freshman with prior enrollment record,Database,Failure,,S17,S17c,Student,s_reg_status,Shows students coded as first time students even though they have records in past semesters.,"SELECT distinct '''' [S17C Reg Status FF conflict],
s_id, s_banner_id, s_inst, s_year ""Previous Year"", s_term ""Previous Term"",
s_extract ""Previous Extract"", s_reg_status ""Previous Reg Status"", ''FF'' ""Current Reg Status""
INTO #s17c
FROM production.dbo.students, production.dbo.student_courses
WHERE (s_instance != left(@instance,5)+''3'')
AND s_extract = ''E''
and (s_term != ''1''
and left(s_instance,4) <> left(@instance,4))
AND s_key = sc_s_key
AND sc_grade != ''w''
AND s_reg_status NOT IN (''CE'', ''HS'', ''NC'', ''NM'')
and s_inst = @inst
AND s_id IN
(SELECT DISTINCT s_id FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_reg_status = ''FF''
AND s_inst = @inst)
ORDER BY s_year, s_term, s_banner_id",banner.sgbstdn_styp_code,sgbstdn_activity_date,student_term_level.student_type_code
first time freshman out of HS with prior enrollment record,Database,Failure,,S17,S17d,Student,s_reg_status,Shows students coded as first time students out of HS even though they have records in past semesters.,"SELECT distinct '''' [S17D Reg Status FH conflict], s_id,
s_banner_id, s_inst, s_year ""Previous Year"", s_term as [Previous Term],
s_extract as [Previous Extract], s_reg_status as [Previous Reg Status], ''FH'' as [Current Reg Status]
INTO #s17d
FROM production.dbo.students, production.dbo.student_courses
WHERE (s_instance != left(@instance,5)+''3'')
AND s_reg_status not in (''HS'',''NM'',''CE'')
AND s_extract = ''E''
and (s_term != ''1''
and left(s_instance,4) <> left(@instance,4))
AND s_key = sc_s_key
and s_inst = @inst
and s_id = sc_id
AND sc_grade != ''w''
AND s_id IN
(SELECT DISTINCT s_id FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_reg_status = ''FH''
AND s_inst = @inst)
ORDER BY s_year, s_term, s_banner_id",banner.sgbstdn_styp_code,sgbstdn_activity_date,student_term_level.student_type_code
HS students that are over 20 yrs old and under 10,USHE,Warning,,S17,S17e,Student,s_reg_status,"This query shows the age of students who are taking
classes FROM the institution while still IN high school.","SELECT DISTINCT '''' [S17E HS Stu over 20 under 10], s_banner_id, s_inst, s_year, s_term, s_extract, s_reg_status, s_age, s_birth_dt
INTO #s17e
FROM students_'+ @extract +'
WHERE s_reg_status = ''HS''
AND (cast(s_age as float)>20 OR cast(s_age as float)<10)
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
First Time Freshman that are under 18 yrs old,USHE,Warning,,S17,S17f,Student,s_reg_status,These students --may-- be miscoded. Possibly should be ''FH''.,"INTO #s17f
FROM students_'+ @extract +'
WHERE s_reg_status = ''FF'' AND s_age<18
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
First Time Freshman out of HS that are over 21,USHE,Warning,,S17,S17g,Student,s_reg_status,First-time Freshmen out of HS over 21. These students --may-- be miscoded.,"SELECT '''' [S17G FH over 21yrs], s_banner_id, s_inst, s_year, s_term, s_extract, s_reg_status, s_age, s_birth_dt, s_high_school, s_hs_grad_date
INTO #s17g
FROM students_'+ @extract +'
WHERE s_reg_status = ''FH'' AND s_age>21
AND s_high_school not in (''459300'', ''459400'')
and s_high_school not in (select hs_act_code from reference.dbo.highschools where hs_alternative = ''Y'')
and s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
invalid student type enrolled in concurrent classes,USHE,Failure,,S17,"S17h, S17i",Student,s_reg_status,Traditional students attending concurrent enrollment classes.,"INTO #s17i
from students_'+ @extract +', courses_'+ @extract +', student_courses_'+ @extract +'
where s_key = sc_s_key and sc_c_key = c_key
and c_budget_code in (''bc'',''sf'')
and s_reg_status != ''HS''
AND s_instance = @instance
and s_extract = ''e''
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,sgbstdn_activity_date,student_term_level.student_type_code
student type change after census,USHE,Warning,,S17,S17j,Student,s_reg_status,REGISTRATION STATUS CHANGED BASED ON 3RD WEEK DATA,"INTO #s17j
FROM students_'+ @extract +' a, PRODUCTION.DBO.STUDENTS b
WHERE a.s_instance = @instance
AND a.s_inst = @inst
AND a.s_YEAR = b.s_YEAR
AND a.S_TERM = b.s_TERM
AND a.s_inst = b.s_inst
AND a.S_ID = b.s_ID
AND a.S_REG_STATUS <> b.s_REG_STATUS
Order by a.s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
First Time Freshman in HS under 16,USHE,Warning,,S17,S17k,Student,s_reg_status,First-time Student under 16.,"INTO #s17k
FROM students_'+ @extract +'
WHERE s_reg_status = ''FH'' AND s_age<16
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",banner.sgbstdn_styp_code,n/a,student_term_level.student_type_code
missing class level,Database,Failure,,S18,S18a,Student,s_level,There should be a valid level for each student.,"INTO #s18a
FROM students_'+ @extract +'
WHERE s_level not IN (select distinct code from reference.dbo.S_LEVEL where Inactive <> ''Y'')
AND s_instance = @instance
and s_inst = @inst
Order by s_banner_id",class function in banner,n/a,student_term_level.primary_level_class_id
UG student types cannot be graduate class levels,USHE,Failure,,S18,S18b,Student,s_level,"Class Level vs. Registration Status a student registered as Undgergrad cannot be grad class level
--or a student registered as grad connot be an undergrad class level","INTO #s18b
FROM students_'+ @extract +'
WHERE s_instance = @instance
AND s_inst = @inst
AND (
(S_REG_STATUS in (''hs'',''fh'',''ff'',''tu'',''cs'',''rs'') AND s_level in (''gn'',''gg''))
OR (S_REG_STATUS in (''NG'',''TG'',''CG'',''RG'') AND s_level in (''fr'',''so'',''jr'',''sr'',''ug''))
)",class function in banner,n/a,student_term_level.primary_level_class_id
